href,name,cuisine,price_4_two
https://www.swiggy.com/restaurants/cafe-amudham-lalbhagh-siddapura-jayanagar-bangalore-684427,Cafe Amudham,"South Indian, Snacks",â‚¹400 FOR TWO
https://www.swiggy.com/restaurants/priyadarshini-grand-siddhaiah-puranik-road-basaveshwara-nagar-bangalore-47385,Priyadarshini Grand,"South Indian, North Indian, Chaat, Chinese, Beverages",â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/sannidhi-grand-yadhav-layout-kammanahalli-bangalore-30903,Sannidhi Grand,"South Indian, North Indian, Chinese, Beverages",â‚¹150 FOR TWO
https://www.swiggy.com/restaurants/truffles-ashok-nagar-st-marks-road-bangalore-3369,Truffles,"American, Desserts, Continental, Italian",â‚¹450 FOR TWO
https://www.swiggy.com/restaurants/veena-stores-margosa-road-malleshwaram-bangalore-2415,Veena Stores,South Indian,â‚¹100 FOR TWO
https://www.swiggy.com/restaurants/vidyarthi-bhavan-gandhi-bazaar-main-road-basavanagudi-bangalore-3883,Vidyarthi Bhavan,South Indian,â‚¹150 FOR TWO
https://www.swiggy.com/restaurants/namaste-marenahalli-main-road-vijayanagar-bangalore-607314,Namaste,"South Indian, Thalis, Snacks, Biryani, Indian, Chinese, Desserts, Beverages",â‚¹100 FOR TWO
https://www.swiggy.com/restaurants/sri-udupi-park-galaxy-mall-residency-road-bangalore-4046,Sri Udupi Park,"North Indian, South Indian, Chinese, Chaat, Beverages",â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/puliyogare-point-n-r-colony-basavanagudi-bangalore-56428,Puliyogare Point,South Indian,â‚¹150 FOR TWO
https://www.swiggy.com/restaurants/sri-udupi-park-100ft-road-defence-colony-indiranagar-bangalore-34301,Sri Udupi Park (100ft Road),"South Indian, North Indian, Chaat, Beverages, Chinese",â‚¹100 FOR TWO
https://www.swiggy.com/restaurants/third-wave-coffee-cunnigham-road-vasanth-nagar-bangalore-448012,Third Wave Coffee,"Beverages, Bakery, Continental",â‚¹400 FOR TWO
https://www.swiggy.com/restaurants/sri-udupi-grand-castle-street-ashok-nagar-bangalore-123961,Sri Udupi Grand,"Chinese, South Indian, North Indian, Desserts, Beverages",â‚¹100 FOR TWO
https://www.swiggy.com/restaurants/vishnu-garden-ganganagar-r-t-nagar-bangalore-72350,Vishnu Garden,"Chinese, South Indian, North Indian",â‚¹251 FOR TWO
https://www.swiggy.com/restaurants/paakashala-mg-road-bangalore-205813,Paakashala,"South Indian, North Indian, Chinese",â‚¹500 FOR TWO
https://www.swiggy.com/restaurants/priyadarshini-veg-lcr-complex-yeshwantpur-bangalore-57086,Priyadarshini Veg,"North Indian, South Indian, Chinese, Fast Food, Desserts",â‚¹150 FOR TWO
https://www.swiggy.com/restaurants/hotel-dwarka-nr-colony-basavanagudi-bangalore-296218,Hotel Dwarka,South Indian,â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/arogya-ahaara-1st-phase-jp-nagar-bangalore-504194,Arogya Ahaara,"South Indian, North Indian, Chinese",â‚¹150 FOR TWO
https://www.swiggy.com/restaurants/davanagere-benne-dose-9th-block-jayanagar-bangalore-107476,Davanagere Benne Dose,South Indian,â‚¹150 FOR TWO
https://www.swiggy.com/restaurants/a2b-adyar-ananda-bhavan-wilson-garden-shanti-nagar-bangalore-12808,A2B - Adyar Ananda Bhavan,"South Indian, North Indian, Sweets, Chinese",â‚¹300 FOR TWO
https://www.swiggy.com/restaurants/bangalore-thindies-hal-2nd-stage-indiranagar-bangalore-367607,Bangalore Thindies,South Indian,â‚¹80 FOR TWO
https://www.swiggy.com/restaurants/vijayalakshmi-veg-pulakeshinagar-frazer-town-bangalore-533238,Vijayalakshmi veg,"South Indian, Beverages",â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/krishna-vaibhava-chord-road-vijayanagar-bangalore-297530,KRISHNA VAIBHAVA,"Indian, Chinese",â‚¹250 FOR TWO
https://www.swiggy.com/restaurants/new-taj-darbar-saint-marys-church-road-shivajinagar-bangalore-196047,New Taj Darbar,"Biryani, Indian, Chinese, Tandoor, Seafood",â‚¹300 FOR TWO
https://www.swiggy.com/restaurants/sri-udupi-food-hub-gandhi-nagar-bangalore-579022,Sri Udupi Food Hub,"South Indian, North Indian, Indian, Chinese, Chaat, Ice Cream, Desserts, Beverag...",â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/brik-oven-prestige-trade-tower-race-course-road-bangalore-245536,Brik Oven,"Italian, Pizzas, Desserts, Beverages",â‚¹1000 FOR TWO
https://www.swiggy.com/restaurants/indraprastha-vegetarian-mc-layout-vijayanagar-bangalore-48677,Indraprastha Vegetarian,"Chinese, North Indian, South Indian",â‚¹300 FOR TWO
https://www.swiggy.com/restaurants/burger-king-mantri-square-mall-seshadripuram-bangalore-5932,Burger King,"Burgers, American",â‚¹350 FOR TWO
https://www.swiggy.com/restaurants/brahmins-thatte-idli-vyalikaval-malleshwaram-bangalore-176071,Brahmins' Thatte Idli,South Indian,â‚¹150 FOR TWO
https://www.swiggy.com/restaurants/vijayalakshmi-bull-temple-rd-basavanagudi-bangalore-96527,Vijayalakshmi,"South Indian, North Indian, Chinese",â‚¹150 FOR TWO
https://www.swiggy.com/restaurants/brahmins-tiffin-centre-new-thipasandra-indiranagar-bangalore-273752,Brahmins Tiffin Centre,"South Indian, North Indian, Chinese",â‚¹150 FOR TWO
https://www.swiggy.com/restaurants/mtr-ashok-nagar-st-marks-road-bangalore-49096,MTR,South Indian,â‚¹300 FOR TWO
https://www.swiggy.com/restaurants/madurai-idly-shop-7th-block-koramangala-bangalore-322,Madurai Idly Shop,South Indian,â‚¹150 FOR TWO
https://www.swiggy.com/restaurants/royal-restaurant-sulthangunta-shivajinagar-bangalore-210945,Royal Restaurant,"Chinese, North Indian, Tandoor",â‚¹300 FOR TWO
https://www.swiggy.com/restaurants/udupi-shanthi-sagar-cleveland-town-frazer-town-bangalore-418859,Udupi Shanthi Sagar,"South Indian, Beverages",â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/udupi-ruchi-grand-3rd-stage-banashankari-bangalore-82154,Udupi Ruchi Grand,"South Indian, Chinese, North Indian, Chaat, Snacks",â‚¹150 FOR TWO
https://www.swiggy.com/restaurants/bidadi-thatte-idly-4th-block-jayanagar-bangalore-479256,Bidadi Thatte idly,South Indian,â‚¹100 FOR TWO
https://www.swiggy.com/restaurants/hotel-aditya-mahalakshmipuram-mahalaxmipuram-basaveshwaranagar-bangalore-495520,Hotel Aditya (Mahalakshmipuram),"North Indian, South Indian, Biryani",â‚¹300 FOR TWO
https://www.swiggy.com/restaurants/idc-kitchen-sri-rammandir-road-residency-road-bangalore-335405,IDC Kitchen,"South Indian, North Indian, Indian",â‚¹150 FOR TWO
https://www.swiggy.com/restaurants/natraj-chole-bhature-1st-stage-indiranagar-bangalore-329805,NATRAJ Chole bhature,Indian,â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/halli-jonne-biriyani-4th-t-block-jayanagar-bangalore-145076,Halli Jonne Biriyani,"South Indian, Biryani",â‚¹300 FOR TWO
https://www.swiggy.com/restaurants/sri-udupi-sagar-gangothri-circle-btm-layout-bangalore-289694,Sri Udupi Sagar,"South Indian, North Indian, Chinese",â‚¹150 FOR TWO
https://www.swiggy.com/restaurants/hotel-kadamba-veg-basaveshwara-nagar-rajajinagar-bangalore-55176,Hotel Kadamba Veg,"South Indian, North Indian, Chinese, Sweets",â‚¹350 FOR TWO
https://www.swiggy.com/restaurants/kullad-cafe-2nd-stage-btm-layout-bangalore-16197,Kullad Cafe,"North Indian, Beverages",â‚¹150 FOR TWO
https://www.swiggy.com/restaurants/the-filter-coffee-80-feet-road-indiranagar-bangalore-682268,The Filter Coffee,"South Indian, Beverages, Desserts",â‚¹250 FOR TWO
https://www.swiggy.com/restaurants/ganesh-food-joint-jayamahal-extension-frazer-town-bangalore-58445,Ganesh Food Joint,South Indian,â‚¹150 FOR TWO
https://www.swiggy.com/restaurants/slv-swadishta-south-indian-2nd-stage-banashankari-bangalore-1754,SLV Swadishta (South Indian),South Indian,â‚¹300 FOR TWO
https://www.swiggy.com/restaurants/south-idlis-tank-bund-road-rajajinagar-bangalore-15895,South Idlis,"South Indian, Chinese",â‚¹150 FOR TWO
https://www.swiggy.com/restaurants/brahmins-coffee-bar-shankarapura-basavanagudi-bangalore-111261,Brahmin's Coffee Bar,South Indian,â‚¹100 FOR TWO
https://www.swiggy.com/restaurants/welcome-upahara-3rd-phase-jp-nagar-bangalore-176923,Welcome Upahara,"South Indian, North Indian",â‚¹150 FOR TWO
https://www.swiggy.com/restaurants/anna-kuteera-3rd-stage-banashankari-bangalore-15869,Anna Kuteera,"South Indian, North Indian, Chinese, Juices",â‚¹250 FOR TWO
